State,State Code,Year,Mother's Bridged Race,Mother's Bridged Race Code,Births,Births Normalized
Alabama,1,2007,American Indian or Alaska Native,1002-5,189,0.45161290322580644
Alabama,1,2007,Asian or Pacific Islander,A-PI,941,0.05898876404494382
Alabama,1,2007,Black or African American,2054-5,19684,0.9138297872340425
Alabama,1,2007,White,2106-3,43817,1.0
Alabama,1,2008,American Indian or Alaska Native,1002-5,194,0.532258064516129
Alabama,1,2008,Asian or Pacific Islander,A-PI,920,0.0
Alabama,1,2008,Black or African American,2054-5,19846,1.0
Alabama,1,2008,White,2106-3,43388,0.9231044990141603
Alabama,1,2009,American Indian or Alaska Native,1002-5,216,0.8870967741935484
Alabama,1,2009,Asian or Pacific Islander,A-PI,987,0.18820224719101122
Alabama,1,2009,Black or African American,2054-5,19191,0.651595744680851
Alabama,1,2009,White,2106-3,41876,0.6520881878472845
Alabama,1,2010,American Indian or Alaska Native,1002-5,204,0.6935483870967742
Alabama,1,2010,Asian or Pacific Islander,A-PI,976,0.15730337078651685
Alabama,1,2010,Black or African American,2054-5,18215,0.1324468085106383
Alabama,1,2010,White,2106-3,40500,0.40544900519806415
Alabama,1,2011,American Indian or Alaska Native,1002-5,197,0.5806451612903226
Alabama,1,2011,Asian or Pacific Islander,A-PI,1015,0.26685393258426965
Alabama,1,2011,Black or African American,2054-5,17999,0.017553191489361703
Alabama,1,2011,White,2106-3,39995,0.31493099121706397
Alabama,1,2012,American Indian or Alaska Native,1002-5,212,0.8225806451612904
Alabama,1,2012,Asian or Pacific Islander,A-PI,1072,0.42696629213483145
Alabama,1,2012,Black or African American,2054-5,18102,0.07234042553191489
Alabama,1,2012,White,2106-3,38926,0.12331959132461015
Alabama,1,2013,American Indian or Alaska Native,1002-5,209,0.7741935483870968
Alabama,1,2013,Asian or Pacific Islander,A-PI,972,0.14606741573033707
Alabama,1,2013,Black or African American,2054-5,17966,0.0
Alabama,1,2013,White,2106-3,38900,0.11865925793152894
Alabama,1,2014,American Indian or Alaska Native,1002-5,199,0.6129032258064516
