Stats,Ajax,Atalanta,Atletico,Barcelona,Bayern,Benfica,Besiktas,Chelsea,Club Brugge,Dortmund,Dynamo Kyiv,Inter,Juventus,Leipzig,Liverpool,LOSC,Malmo,Man. City,Man. United,Milan,Paris,Porto,Real Madrid,Salzburg,Sevilla,Shakhtar Donetsk,Sheriff,Sporting CP,Villarreal,Wolfsburg,Young Boys,Zenit
Matches Played,0.08362420100070908,-0.8083672763401877,0.9756156783416059,-0.8083672763401877,0.9756156783416059,0.9756156783416059,-0.8083672763401877,0.9756156783416059,-0.8083672763401877,-0.8083672763401877,-0.8083672763401877,0.08362420100070908,0.08362420100070908,-0.8083672763401877,2.313602894352951,0.08362420100070908,-0.8083672763401877,1.8676071556825027,0.08362420100070908,-0.8083672763401877,0.08362420100070908,-0.8083672763401877,2.313602894352951,0.08362420100070908,-0.8083672763401877,-0.8083672763401877,-0.8083672763401877,0.08362420100070908,1.8676071556825027,-0.8083672763401877,-0.8083672763401877,-0.8083672763401877
Result,-0.45448583811729526,0.9306138590020808,-1.1470356866769833,0.9306138590020808,-1.1470356866769833,-1.1470356866769833,0.9306138590020808,-1.1470356866769833,0.9306138590020808,0.9306138590020808,0.9306138590020808,-0.45448583811729526,-0.45448583811729526,0.9306138590020808,-1.8395855352366712,-0.45448583811729526,0.9306138590020808,-1.4933106109568273,-0.45448583811729526,0.9306138590020808,-0.45448583811729526,0.9306138590020808,-1.8395855352366712,-0.45448583811729526,0.9306138590020808,0.9306138590020808,0.9306138590020808,-0.45448583811729526,-1.4933106109568273,0.9306138590020808,0.9306138590020808,0.9306138590020808
Possesion,1.5240217554090456,0.28975228436171935,-1.1853502542070353,0.9670952867657395,1.6143341557295818,-1.2004023209271248,-0.7638923860445344,1.4638134885286884,-1.3358709214079287,0.24459608420145174,-0.9595692534056953,0.03386715012020122,0.1542836838809155,-0.2822262510016751,1.4939176219688663,-0.1317055838007817,-1.5315477887690898,1.569177955569313,0.4402729515626127,-0.16180971724096083,0.7714184194045786,-0.16180971724096083,0.1542836838809155,-0.5983196521235514,1.0423556203661863,1.2229804210072588,-2.284151124773557,-0.9144130532454278,-0.447798984922658,-0.5832675854034619,-0.05644525020033502,-0.3875907180423009
Passing Accuracy,0.9618747029859503,-0.2962854924526053,-1.3073070780728744,1.0068089956801851,1.231480459151356,-0.6332926876593616,-0.7456284193949471,1.2988818981927066,-1.1949713463372889,0.15305743448973644,-0.11654832167566925,0.7147360931676636,0.9169404102917187,-0.2513511997583705,0.647334654126313,-0.7231612730478313,-1.1275699072959382,1.5460205080109966,0.5125317760436086,-0.5209569559237762,1.5010862153167617,-1.2623727853786395,0.9169404102917187,-2.003788614833503,0.3327946052666725,1.6134219470523472,-1.3073070780728744,-0.45355551688242557,-0.565891248618011,-1.3747085171142248,-0.18394976071701988,0.7147360931676636
Crossing Accuracy,1.5474548325572655,0.6592296371880727,-0.8951644547080145,-0.22899555818112,0.21511703950347635,1.1033422348726691,-0.006939259338821818,0.8812859360303709,-2.0054459489195056,-0.6731081558657164,-1.1172207535503127,1.1033422348726691,-0.45105185702341816,0.43717333834577454,-0.22899555818112,0.21511703950347635,-0.6731081558657164,-0.6731081558657164,-0.45105185702341816,1.7695111313995635,-1.561333351234909,0.8812859360303709,-0.45105185702341816,-2.2275022477618034,-0.22899555818112,-0.6731081558657164,0.8812859360303709,-0.22899555818112,1.5474548325572655,0.21511703950347635,-0.22899555818112,1.5474548325572655
Won Rate,1.7593043326774458,-0.7916869497048504,-0.21991304158468067,-0.08796521663387212,1.539391291092765,-0.21991304158468067,-1.539391291092765,1.539391291092765,-0.7916869497048504,0.6597391247540423,-1.539391291092765,0.6597391247540423,1.187530424557276,-0.08796521663387212,1.8472695493113183,0.13194782495080856,-1.539391291092765,1.0115999912895313,0.13194782495080856,-0.7916869497048504,0.6597391247540423,-0.7916869497048504,1.4954086827758288,0.13194782495080856,-0.7916869497048504,-1.539391291092765,-0.08796521663387212,0.13194782495080856,0.307878258218553,-0.7916869497048504,-0.7916869497048504,-0.7916869497048504
Total Attempts Rate,1.3240413587386823,0.4745543394254418,-0.7301727061460631,-0.6066109578823189,2.2353092521837947,-0.8846248914757432,-1.171905956188948,1.4630483255353943,-0.6591247008944101,0.6290065247551219,-1.2769334422131304,1.438335975882646,0.35717067857488466,0.8359724530968932,1.5804319863859508,-0.22048049455811866,-1.894742183531851,1.2715276157265907,-0.2977065872229587,-1.2244196992010392,-0.1432544018932786,-0.4521587725526388,0.557958519503469,-0.2606380627438357,-0.04131595957568971,0.4745543394254418,-0.915515328541679,-0.6436794823614419,-0.7363507935592501,-1.4313856275428105,0.527068082437533,0.42204059641335057
Shots On Target Rate,1.6745348537289169,0.6291756005231941,-0.9737085877255807,-1.5800169545848999,2.0229879381308242,-0.41618365268252866,-1.4615429058882514,1.1170099186858649,-0.06773056828062109,0.5107015518265455,-0.9946157727896953,0.6291756005231941,0.3643512563777444,1.0961027336217501,1.4863701881518872,-0.93886327928539,-2.039975025995418,1.0961027336217501,0.6291756005231941,-0.9946157727896953,0.5455468602667362,-0.7646367370844362,0.8452165128523765,0.3643512563777444,-0.18620461697726962,-0.41618365268252866,-0.5346577013791772,-0.151359308537079,-0.24195711048157487,-1.5800169545848999,0.05074348041602744,0.2807225161212865
Shots Off Target Rate,1.2515027749907168,-0.1344966552357966,-0.11018087575813827,-0.004812498021619781,2.2403444737488143,-1.0017594566056032,-0.27228607227585927,1.1866606963836286,-1.488075046158766,0.6760293273528079,-1.488075046158766,1.9566603798428028,1.5513973885485006,0.2707663360585056,0.9435029016070473,-0.1750229543652267,-0.945022637824401,0.0681348404113545,-0.9855489369538311,-0.8153384806102242,-0.7748121814807941,-0.27228607227585927,-0.05344405697693645,-1.1800751727750962,0.2707663360585056,1.08129231864711,-0.6775490635701615,-0.7748121814807941,-0.8801805592173126,-0.945022637824401,1.4865553099414122,-0.004812498021619781
Shots Woodwork Rate,0.8079550988317291,1.590032632220449,-0.5721817247954235,-0.7101954071581388,0.8079550988317291,-1.032227332671141,0.8079550988317291,-1.4922729405468587,-1.4922729405468587,0.025877565443009325,1.590032632220449,1.36000982828259,0.255900369380868,-0.7101954071581388,1.36000982828259,-0.3421589208575648,-1.4922729405468587,0.8079550988317291,0.255900369380868,-1.4922729405468587,-0.3421589208575648,0.8079550988317291,-0.06613155613213427,0.255900369380868,0.025877565443009325,1.590032632220449,-0.7101954071581388,1.36000982828259,-0.3421589208575648,-0.7101954071581388,-0.7101954071581388,-1.4922729405468587
